legacy_url,target_url,launch_action,implementation_status,validation_status,approval_status,local_initial_status,local_redirect_location,local_final_status,local_final_canonical,local_hops,notes
https://datapowersource.com/,https://datapowersource.com,retain,implemented,local-rehearsal-2026-08-16,client-review,200,,200,https://datapowersource.com,0,"Canonical homepage"
https://datapowersource.com/contact-us/contact-us-handler/,https://datapowersource.com/contact,308-redirect,implemented,local-rehearsal-2026-08-16,client-review,308,/contact,200,https://datapowersource.com/contact,1,"Legacy form handler replaced by the project intake page"
https://datapowersource.com/about/contact-information/,https://datapowersource.com/contact,308-redirect,implemented,local-rehearsal-2026-08-16,client-review,308,/contact,200,https://datapowersource.com/contact,1,"Closest equivalent contact-information page"
https://datapowersource.com/contact-us/,https://datapowersource.com/contact,308-redirect,implemented,local-rehearsal-2026-08-16,client-review,308,/contact,200,https://datapowersource.com/contact,1,"Direct page replacement"
https://datapowersource.com/projects-old/,https://datapowersource.com/projects,308-redirect,implemented,local-rehearsal-2026-08-16,client-review,308,/projects,200,https://datapowersource.com/projects,1,"Retired portfolio archive replaced by current project gallery"
https://datapowersource.com/site-map/,https://datapowersource.com/site-map,retain,implemented,local-rehearsal-2026-08-16,client-review,308,/site-map,200,https://datapowersource.com/site-map,1,"Retained as a human-readable site index"
https://datapowersource.com/privacy-policy/,https://datapowersource.com/privacy,308-redirect,implemented,local-rehearsal-2026-08-16,client-and-counsel-review,308,/privacy,200,https://datapowersource.com/privacy,1,"Legal destination remains noindex until approved copy is supplied"
https://datapowersource.com/terms-of-use/,https://datapowersource.com/terms-of-use,retain,implemented,local-rehearsal-2026-08-16,client-and-counsel-review,308,/terms-of-use,200,https://datapowersource.com/terms-of-use,1,"Legal route remains noindex until approved copy is supplied"
https://datapowersource.com/about-us/,https://datapowersource.com/about,308-redirect,implemented,local-rehearsal-2026-08-16,client-review,308,/about,200,https://datapowersource.com/about,1,"Direct page replacement"
https://datapowersource.com/services/,https://datapowersource.com/services,retain,implemented,local-rehearsal-2026-08-16,client-review,308,/services,200,https://datapowersource.com/services,1,"Canonical services overview"
https://datapowersource.com/services/electrical-services/,https://datapowersource.com/services/commercial-industrial-electrical,308-redirect,implemented,local-rehearsal-2026-08-16,client-review,308,/services/commercial-industrial-electrical,200,https://datapowersource.com/services/commercial-industrial-electrical,1,"Direct service replacement"
https://datapowersource.com/services/connectivity-services/,https://datapowersource.com/services/low-voltage-connectivity,308-redirect,implemented,local-rehearsal-2026-08-16,client-review,308,/services/low-voltage-connectivity,200,https://datapowersource.com/services/low-voltage-connectivity,1,"Direct service replacement"
https://datapowersource.com/services/mission-critical-services/,https://datapowersource.com/services/mission-critical-power,308-redirect,implemented,local-rehearsal-2026-08-16,client-review,308,/services/mission-critical-power,200,https://datapowersource.com/services/mission-critical-power,1,"Direct service replacement"
https://datapowersource.com/services/engineering-and-design/,https://datapowersource.com/services/engineering-design-build,308-redirect,implemented,local-rehearsal-2026-08-16,client-review,308,/services/engineering-design-build,200,https://datapowersource.com/services/engineering-design-build,1,"Direct service replacement"
https://datapowersource.com/category/projects/,https://datapowersource.com/projects,308-redirect,implemented,local-rehearsal-2026-08-16,client-review,308,/projects,200,https://datapowersource.com/projects,1,"Taxonomy archive replaced by project gallery"
https://datapowersource.com/author/admin/,https://datapowersource.com/projects,308-redirect,implemented-provisional,local-rehearsal-2026-08-16,client-and-gsc-review,308,/projects,200,https://datapowersource.com/projects,1,"Author archive contained the project portfolio; confirm traffic and backlinks before launch"
https://datapowersource.com/author/dpsadmin/,https://datapowersource.com/projects,308-redirect,implemented-provisional,local-rehearsal-2026-08-16,client-and-gsc-review,308,/projects,200,https://datapowersource.com/projects,1,"Author archive contained the project portfolio; confirm traffic and backlinks before launch"
https://datapowersource.com/projects/charlotte-nc-television-transmitter-site/,https://datapowersource.com/projects/charlotte-nc-television-transmitter-site,retain,implemented,local-rehearsal-2026-08-16,client-review,308,/projects/charlotte-nc-television-transmitter-site,200,https://datapowersource.com/projects/charlotte-nc-television-transmitter-site,1,"Case study retained at the same path"
https://datapowersource.com/projects/government-data-center-project/,https://datapowersource.com/projects/government-data-center-project,retain,implemented,local-rehearsal-2026-08-16,client-review,308,/projects/government-data-center-project,200,https://datapowersource.com/projects/government-data-center-project,1,"Case study retained at the same path"
https://datapowersource.com/projects/us-army-combat-readiness-center-data-center-generator-and-cooling/,https://datapowersource.com/projects/us-army-combat-readiness-center-data-center-generator-and-cooling,retain,implemented,local-rehearsal-2026-08-16,client-review,308,/projects/us-army-combat-readiness-center-data-center-generator-and-cooling,200,https://datapowersource.com/projects/us-army-combat-readiness-center-data-center-generator-and-cooling,1,"Case study retained at the same path"
https://datapowersource.com/projects/pruitt-assisted-living-facility/,https://datapowersource.com/projects/pruitt-assisted-living-facility,retain,implemented,local-rehearsal-2026-08-16,client-review,308,/projects/pruitt-assisted-living-facility,200,https://datapowersource.com/projects/pruitt-assisted-living-facility,1,"Case study retained at the same path"
https://datapowersource.com/projects/2010-earthlink-atlanta-network-service-addition/,https://datapowersource.com/projects/2010-earthlink-atlanta-network-service-addition,retain,implemented,local-rehearsal-2026-08-16,client-review,308,/projects/2010-earthlink-atlanta-network-service-addition,200,https://datapowersource.com/projects/2010-earthlink-atlanta-network-service-addition,1,"Case study retained at the same path"
https://datapowersource.com/projects/clayton-county-public-schools-data-center-modifications/,https://datapowersource.com/projects/clayton-county-public-schools-data-center-modifications,retain,implemented,local-rehearsal-2026-08-16,client-review,308,/projects/clayton-county-public-schools-data-center-modifications,200,https://datapowersource.com/projects/clayton-county-public-schools-data-center-modifications,1,"Case study retained at the same path"
https://datapowersource.com/projects/chatham-county-data-center-electrical-mechanical-installation/,https://datapowersource.com/projects/chatham-county-data-center-electrical-mechanical-installation,retain,implemented,local-rehearsal-2026-08-16,client-review,308,/projects/chatham-county-data-center-electrical-mechanical-installation,200,https://datapowersource.com/projects/chatham-county-data-center-electrical-mechanical-installation,1,"Case study retained at the same path"
https://datapowersource.com/projects/georgia-institute-of-technology-holland-heating-cooling-plant-480v-upgrade/,https://datapowersource.com/projects/georgia-institute-of-technology-holland-heating-cooling-plant-480v-upgrade,retain,implemented,local-rehearsal-2026-08-16,client-review,308,/projects/georgia-institute-of-technology-holland-heating-cooling-plant-480v-upgrade,200,https://datapowersource.com/projects/georgia-institute-of-technology-holland-heating-cooling-plant-480v-upgrade,1,"Case study retained at the same path"
https://datapowersource.com/projects/georgia-state-university-classroom-south-phase-2-transformer/,https://datapowersource.com/projects/georgia-state-university-classroom-south-phase-2-transformer,retain,implemented,local-rehearsal-2026-08-16,client-review,308,/projects/georgia-state-university-classroom-south-phase-2-transformer,200,https://datapowersource.com/projects/georgia-state-university-classroom-south-phase-2-transformer,1,"Case study retained at the same path"
